T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,0.0,0.0,1.662891744615296,2.589800292587956
2458369.5,864.0,42039.01347498916,1435.7853382630449,2236.1030422888207,-0.19396673788495114,1.6595827117692483,2.5846467795905936
2458369.5,1728.0,41787.883494858914,2865.8564951506237,4463.30677491245,-0.38715921289222327,1.6496689009111647,2.569206934931723
2458369.5,2592.0,41370.44748483727,4284.522234485334,6672.747623231693,-0.5788063079464885,1.6331901198361105,2.54354275557496
2458369.5,3456.0,40788.371627946115,5686.137115097142,8855.633334101074,-0.7681431839137577,1.6102125309785926,2.5077572834003763
2458369.5,4320.0,40043.97909710091,7065.124150303842,11003.278265916517,-0.9544143844865564,1.5808283764846982,2.4619941770297533
2458369.5,5184.0,39140.24062120976,8415.997183016945,13107.138235775887,-1.1368769003716088,1.5451555951230518,2.4064371152007826
2458369.5,6048.0,38080.76242616648,9733.382883761553,15158.844779362913,-1.3148031795542137,1.503337332830351,2.341309034486956
2458369.5,6912.0,36869.77160293965,11012.042280664233,17150.23868191451,-1.4874840707012684,1.4555413491801976,2.266871204927593
2458369.5,7776.0,35512.09896598967,12246.891732648055,19073.402642034674,-1.6542316871201215,1.4019593225420977,2.183422147877176
2458369.5,8640.0,34013.15947594058,13433.023259664878,20920.692934153292,-1.8143821791101706,1.3428060571579103,2.091296401100159
2458369.5,9504.0,32378.93031073848,14565.724146774859,22684.76994006909,-1.9672984030249636,1.2783185958028978,1.990863136822528
2458369.5,10368.0,30615.926679394106,15640.495742233428,24358.627425233666,-2.1123724759006457,1.2087552421153145,1.882524639100447
2458369.5,11232.0,28731.175481783102,16653.071373445506,25935.620441195202,-2.2490282050976496,1.1343944970698343,1.7667146474758644
2458369.5,12096.0,26732.18692682322,17599.433308672513,27409.491741890375,-2.3767233830419245,1.0555339144339964,1.643896574455655
2458369.5,12960.0,24626.924229620672,18475.82869670567,28774.396608213083,-2.494951937834867,0.9724888803814493,1.514561604871985
2458369.5,13824.0,22423.771515844466,19278.784421322558,30024.925982458422,-2.6032459312222684,0.885591322739598,1.3792266856547521
2458369.5,14688.0,20131.500068616242,20005.12081219648,31156.127821797505,-2.7011773961667807,0.795188355621054,1.238432414970276
2458369.5,15552.0,17759.233059568047,20651.964159001138,32163.526587839544,-2.7883600070501635,0.7016408654271972,1.0927408400524614
2458369.5,16416.0,15316.408911399752,21216.757980718237,33043.14079753748,-2.8644505763355106,0.6053220444174924,0.942733173372474
2458369.5,17280.0,12812.743444245174,21697.273007583426,33791.49856914674,-2.9291503723402745,0.5066158782096838,0.7890074370600082
2458369.5,18144.0,10258.190962418714,22091.61583866733,34405.65110560799,-2.982206253602912,0.4059155937135364,0.6321760457034642
2458369.5,19008.0,7662.9044416554925,22398.236243754,34883.18406654835,-3.0234116161640774,0.3036220741046522,0.47286333781808326
2458369.5,19872.0,5037.194979773946,22615.933083920016,35222.226789036504,-3.052607150922482,0.20014224751552773,0.3117030663811151
2458369.5,20736.0,2391.4906757822037,22743.858831005407,35421.459326241165,-3.069681409061012,0.09588745615916368,0.14933585889249198
2458369.5,21600.0,-263.7048961766791,22781.522671974584,35480.11728218653,-3.074571174365813,-0.008728187392865891,-0.013593342570239225
2458369.5,22464.0,-2917.8544509814633,22728.792189965043,35397.994429830396,-3.0672616420757186,-0.11328945007981112,-0.17643785087109726
2458369.5,23328.0,-5560.42882776492,22585.893619588056,35175.443108671425,-3.047786404697508,-0.2173816277234706,-0.3385518025597667
2458369.5,24192.0,-8180.948729909083,22353.41067975389,34813.3724069823,-3.016227246000662,-0.3205921873377052,-0.49929271561695754
2458369.5,25056.0,-10769.026204867601,22032.281992921748,34313.24414252994,-2.972713745160222,-0.42251239591788337,-0.6580240261435073
2458369.5,25920.0,-13314.40570089702,21623.797105199137,33677.06666424795,-2.9174226937453076,-0.5227389293834996,-0.8141175941398849
2458369.5,26784.0,-15807.004540414218,21129.591127117,32907.386505738956,-2.850577328951382,-0.6208754555009856,-0.9669561687622469
2458369.5,27648.0,-18236.95265292503,20551.638020166152,32007.27792967538,-2.7724463871444938,-0.7165341847884126,-1.1159358037132483
2458369.5,28512.0,-20594.631414261825,19892.242559280956,30980.330410110164,-2.6833429824237123,-0.809337383597569,-1.2604682137276086
2458369.5,29376.0,-22870.711443197903,19154.031006380985,29830.634107379552,-2.583623315512708,-0.8989188437799958,-1.3999830634412036
2458369.5,30240.0,-25056.18921134388,18339.94053481753,28562.763397655457,-2.473685218861784,-0.9849253035702225,-1.5339301802854535
2458369.5,31104.0,-27142.422327546785,17453.207449105554,27181.758526266178,-2.353966544377245,-1.0670178145599374,-1.6617816834233212
2458369.5,31968.0,-29121.163363775322,16497.35424864247,25693.105460633484,-2.2249434006953335,-1.144873049889521,-1.7830340211367843
2458369.5,32832.0,-30984.592095654778,15476.175588213,24102.714025055797,-2.0871282473831734,-1.218184549046682,-1.8972099094857247
2458369.5,33696.0,-32725.346037381896,14393.723191945275,22416.894405588435,-1.9410678538793897,-1.286663894934421,-2.003860165482553
2458369.5,34560.0,-34336.54915767354,13254.28978101085,20642.332118921102,-1.787341131382815,-1.3500418191508035,-2.10256542846336
2458369.5,35424.0,-35811.83867065381,12062.392078743376,18786.061544420125,-1.6265568462595215,-1.4080692317098498,-2.192937763783084
2458369.5,36288.0,-37145.38980313322,10822.75295998278,16855.438123380987,-1.4593512238671185,-1.460518171725052,-2.2746221434172744
2458369.5,37152.0,-38331.938447552784,9540.282814329215,14858.10933401793,-1.2863854519916498,-1.5071826758736833,-2.3472977985150325
2458369.5,38016.0,-39366.80161792707,8220.060195610868,12801.984554797591,-1.1083430933575316,-1.5478795617601855,-2.410679439415128
2458369.5,38880.0,-40245.89563439788,6867.311832228686,10695.203932397462,-0.9259274169056271,-1.5824491235998417,-2.464518339109062
2458369.5,39744.0,-40965.75197047746,5487.392075137672,8546.106373835239,-0.7398586577398862,-1.6107557379489503,-2.508603276609863
2458369.5,40608.0,-41523.53070569245,4085.76186205642,6363.196785168363,-0.5508712158197802,-1.6326883775143053,-2.5427613371628923
2458369.5,41472.0,-41917.03153511313,2667.9672780635756,4155.112681603458,-0.3597108036250695,-1.6481610313825215,-2.566858566714207
2458369.5,42336.0,-42144.70229614287,1239.6177940401776,1930.5902958804909,-0.16713155314192452,-1.6571130303182786,-2.5808004785325305
2458369.5,43200.0,-42205.64498192792,-193.63573454922414,-301.56968659329755,0.02610690738408261,-1.6595092760896315,-2.584532410362245
2458369.5,44064.0,-42099.619219805056,-1626.1232252773866,-2532.5366361910196,0.21924239641160392,-1.6553403740879629,-2.578039730966722
2458369.5,44928.0,-41827.04320231244,-3052.1775990187957,-4753.484600649488,0.41151313122126787,-1.6446226688197845,-2.561347895403529
2458369.5,45792.0,-41388.99206742612,-4466.156998867754,-6955.626908981707,0.6021606786037839,-1.6273981821573333,-2.5345223488554485
2458369.5,46656.0,-40787.193733829336,-5862.466913756461,-9130.250626968384,0.7904328935379568,-1.6037344545446848,-2.4976682793236664
2458369.5,47520.0,-40024.02220615269,-7235.582123123147,-11268.75073395147,0.9755868353060901,-1.573724289665811,-2.45093021997187
2458369.5,48384.0,-39102.48837422025,-8580.068379551576,-13362.663891542285,1.1568916505469553,-1.537485403390615,-2.394491502392131
2458369.5,49248.0,-38026.228339376015,-9890.603747142028,-15403.70167616325,1.3336314128243463,-1.4951599781243101,-2.328573562545234
2458369.5,50112.0,-36799.48930992748,-11161.999514479598,-17383.78314906425,1.5051079083926793,-1.4469141239944683,-2.253435101609287
2458369.5,50976.0,-35427.1131166038,-12389.220602438338,-19295.06663959245,1.6706433579707654,-1.3929372486184026,-2.1693711044506396
2458369.5,51840.0,-33914.517407663894,-13567.40538869803,-21129.980620045968,1.8295830644915156,-1.3334413375010201,-2.0767117189100217
2458369.5,52704.0,-32267.674591879517,-14691.88487275443,-22881.25355340705,1.9812979769797743,-1.2686601474194819,-1.9758209995736655
2458369.5,53568.0,-30493.088606037498,-15758.201107371116,-24541.942598625752,2.125187160923617,-1.1988483154555147,-1.867095520173443
2458369.5,54432.0,-28597.76959182645,-16762.12482485094,-26105.46106190963,2.2606801657472486,-1.124280386638448,-1.7509628592307196
2458369.5,55296.0,-26589.20657497217,-17699.672189194636,-27565.604486663375,2.3872392802670843,-1.0452497634613187,-1.6278799640247337
2458369.5,56160.0,-24475.338247234842,-18567.120608160825,-28916.575279311688,2.5043616673176308,-0.9620675808279273,-1.4983313984265685
2458369.5,57024.0,-22264.521959352278,-19361.023542441617,-30153.00577322243,2.61158136907137,-0.8750615102795894,-1.3628274805927807
2458369.5,57888.0,-19965.501040178857,-20078.224252617078,-31269.979638318393,2.708471174947738,-0.7845744976354827,-1.2219023169568564
2458369.5,58752.0,-17587.37056409999,-20715.868428244154,-32263.051549716816,2.7946443444113087,-0.6909634384587959,-1.0761117393900976
2458369.5,59616.0,-15139.541695267075,-21271.41564736522,-33128.265034855496,2.8697561773989433,-0.5945977960310089,-0.9260311528242301
2458369.5,60480.0,-12631.704743268427,-21742.64961888026,-33862.16842504139,2.933505425590329,-0.4958581667772448,-0.7722533010339135
2458369.5,61344.0,-10073.791070496476,-22127.687164605974,-34461.82884417812,2.9856355382462296,-0.39513479833517984,-0.6153859586659639
2458369.5,62208.0,-7475.933996660953,-22424.985902434826,-34924.84417457657,3.025935736883764,-0.29282606569692554,-0.4560495579711049
