T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,0.0,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.013481355236,1435.785251992632,2236.103042650179,-0.19396672318709082,1.659582612218524,2.584646780817627
2458369.5,1728.0,41787.883520127885,2865.8563233804157,4463.306777699329,-0.38715918394366217,1.6496688026884727,2.5692069396979593
2458369.5,2592.0,41370.447540976216,4284.521978722923,6672.7476324653035,-0.5788062656151289,1.6331900237625423,2.5435427660872363
2458369.5,3456.0,40788.37172600062,5686.136777521813,8855.633355640271,-0.7681431294587528,1.6102124377822726,2.5077573016952672
2458369.5,4320.0,40043.97924687456,7065.123733672253,11003.278307284667,-0.9544143195156016,1.5808282867691135,2.461994204914463
2458369.5,5184.0,39140.24083098573,8415.99669054348,13107.13830593991,-1.1368768267865603,1.5451555093402594,2.406437154201874
2458369.5,6048.0,38080.76270248042,9733.382318978012,15158.844888472055,-1.3148030994869888,1.5033372512601304,2.3413090858086307
2458369.5,6912.0,36869.771950411385,11012.041647264403,17150.23884100768,-1.4874839864423381,1.4555412719159955,2.26687126942092
2458369.5,7776.0,35512.09938721896,12246.89103432329,19073.402862726318,-1.654231601042166,1.4019592494843578,2.1834222260212344
2458369.5,8640.0,34013.15997146986,13433.022499937231,20920.69322830834,-1.8143820935896366,1.3428059880151124,2.0912964929956757
2458369.5,9504.0,32378.93087908341,14565.723328834467,22684.770319477844,-1.9672983203643395,1.2783185301003395,1.9908632421981003
2458369.5,10368.0,30615.927317139853,15640.49486878675,24358.627901297397,-2.1123723982542337,1.208755179211385,1.8825247573310195
2458369.5,11232.0,28731.176183742307,16653.070446580678,25935.621024632754,-2.249028134403479,1.1343944361792482,1.7667147776126775
2458369.5,12096.0,26732.187686249294,17599.4323297475,27409.492442475166,-2.3767233209622334,1.055533854657196,1.6438967152664778
2458369.5,12960.0,24626.925038468005,18475.827666264133,28774.39743454878,-2.494951885707244,0.9724888207391577,1.5145617548900814
2458369.5,13824.0,22423.77236506563,19278.783339041365,30024.926941800026,-2.603245890023176,0.8855912622113018,1.3792268432347212
2458369.5,14688.0,20131.50094848489,20005.119676867682,31156.128919922907,-2.7011773664887087,0.795188293186054,1.2384325783486692
2458369.5,15552.0,17759.233960015357,20651.962968549986,32163.527828974715,-2.788359989093182,0.7016408001067574,1.0927410074109214
2458369.5,16416.0,15316.409822351874,21216.756732257563,33043.142184336444,-2.864450569913451,0.6053219753165737,0.9427333429010507
2458369.5,17280.0,12812.74435594907,21697.271697503333,33791.50010272551,-2.9291503769012452,0.5066158045567524,0.7890076070183252
2458369.5,18144.0,10258.191865744391,22091.614462757945,34405.6527856296,-2.982206268263333,0.40591551489700195,0.6321762144774901
2458369.5,19008.0,7662.905328363409,22398.23479735775,34883.185891354275,-3.0234116397549204,0.3036219897045993,0.4728635039704344
2458369.5,19872.0,5037.1958427378295,22615.931562108864,35222.22875581808,-3.0526071820459824,0.20014215732956725,0.3117032286930659
2458369.5,20736.0,2391.4915091590983,22743.857228777542,35421.461431243195,-3.0696814461557054,0.09588736022143489,0.14933601639617697
2458369.5,21600.0,-263.70409683529806,22781.52098446425,35480.11952093401,-3.074571215777492,-0.008728288800277276,-0.013593190570583918
2458369.5,22464.0,-2917.8536886814823,22728.790412658833,35397.996797368585,-3.06726168613165,-0.11328955642350758,-0.17643770478959614
2458369.5,23328.0,-5560.428104085933,22585.89174854053,35175.445599809,-3.0477864497811615,-0.21738173822361936,-0.33855166253138463
2458369.5,24192.0,-8180.948045084506,22353.40871179544,34813.37501652717,-3.016227290624177,-0.32059230098105784,-0.49929258151186573
2458369.5,25056.0,-10769.02555792546,22032.27992585183,34313.24686550772,-2.9727137880319043,-0.4225125114785586,-0.6580238975927725
2458369.5,25920.0,-13314.405089855993,21623.79493795843,33677.06949609366,-2.9174227338296466,-0.5227390454508755,-0.8141174705714942
2458369.5,26784.0,-15807.003962527475,21129.58885993268,32907.389442453685,-2.8505773655193325,-0.6208755705138038,-0.9669560494461087
2458369.5,27648.0,-18236.9521049626,20551.635654665446,32007.280967940675,-2.7724464198121166,-0.7165342970739803,-1.115935687813472
2458369.5,28512.0,-20594.630892820787,19892.24009856905,30980.333547354905,-2.6833430111776853,-0.8093374914147667,-1.2604681003600988
2458369.5,29376.0,-22870.710945028542,19154.028455080675,29830.637341795504,-2.5836233407216778,-0.8989189453646725,-1.3999829517344022
2458369.5,30240.0,-25056.18873367934,18339.937899069126,28562.766728159786,-2.473685241273047,-0.9849253971814739,-1.5339300694419435
2458369.5,31104.0,-27142.421868423495,17453.20473652696,27181.76195241124,-2.3539665650987582,-1.0670178985257375,-1.661781572779958
2458369.5,31968.0,-29121.162922331703,16497.351468250727,25693.10898246611,-2.224943421163575,-1.1448731226501985,-1.7830339102210666
2458369.5,32832.0,-30984.59167239644,15476.172750309635,24102.717642930278,-2.0871282693178825,-1.2181846091948154,-1.8972097980662395
2458369.5,33696.0,-32725.345634402576,14393.720307969246,22416.89811993921,-1.9410678792266889,-1.2866639412498457,-2.003860053611523
2458369.5,34560.0,-34336.54877882256,13254.286863363766,20642.335930002715,-1.787341162248617,-1.3500418506296017,-2.1025653165095988
2458369.5,35424.0,-35811.838321642565,12062.389140592613,18786.065452023362,-1.62655688483549,-1.408069247586397,-2.1929376524539776
