T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,0.0,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.01411825624,1435.7852592256254,2236.103078795296,-0.19396525204533932,1.6595826372815283,2.584646903574949
2458369.5,1728.0,41787.886051698144,2865.856380724868,4463.307056685584,-0.38715627829377525,1.649668901456127,2.5692074171842547
2458369.5,2592.0,41370.45317840204,4284.522169424127,6672.7485580858765,-0.5788019963414366,1.6331902405848133,2.5435438216650184
2458369.5,3456.0,40788.381605264876,5686.137220350482,8855.635519044325,-0.7681375992593708,1.6102128101363604,2.5077591448559846
2458369.5,4320.0,40043.99440271481,7065.124575979875,11003.282472895256,-0.9544076593876142,1.5808288429907351,2.461997026522638
2458369.5,5184.0,39140.262174306234,8415.99809953105,13107.145393544342,-1.1368691915723106,1.545156266773035,2.406441122417536
2458369.5,6048.0,38080.79100195545,9733.384471579182,15158.855952135847,-1.3147946626578981,1.5033382149119983,2.341314342833942
2458369.5,6912.0,36869.807818851026,11012.044719112244,17150.25504557591,-1.487474934327279,1.4555424336911345,2.266877929184825
2458369.5,7776.0,35512.14327307959,12246.89518831923,19073.425458758953,-1.6542221267300268,1.4019605880357981,2.1834303728794557
2458369.5,8640.0,34013.21215568618,13433.02787496889,20920.72352634605,-1.8143723907494205,1.342807469237957,2.091306181483721
2458369.5,9504.0,32378.991477186355,14565.730029195043,22684.8096645495,-1.9672885772304112,1.278320108259269,1.990874497833759
2458369.5,10368.0,30615.996286412235,15640.502954831809,24358.677648559704,-2.112362792018958,1.208756798669887,1.882537578421596
2458369.5,11232.0,28731.25333496071,16653.07992711898,25935.682516976318,-2.249018826244662,1.1343960336728056,1.7667291379825545
2458369.5,12096.0,26732.27269937358,17599.44315660252,27409.566990842446,-2.3767144519090078,1.0555353620294667,1.6439125677840336
2458369.5,12960.0,24627.01748147737,18475.83973136381,28774.486301590554,-2.494943573516206,0.9724901680398663,1.5145790356409012
2458369.5,13824.0,22423.87171500779,19278.79647429876,30025.031329352907,-2.603238227197855,0.885592381037951,1.379245476161675
2458369.5,14688.0,20131.606613708842,20005.13365700769,31156.24996062647,-2.701170419531252,0.7951891201392867,1.2384524801598105
