T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,0.0,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.01036012053,1435.7852165461825,2236.10286551527,-0.19397393275117142,1.6595824893932865,2.5846461792258313
2458369.5,1728.0,41787.8711137636,2865.8560423546987,4463.305410482418,-0.38717342354793777,1.6496683186615482,2.569204599699099
2458369.5,2592.0,41370.41991386331,4284.521044160439,6672.743096310791,-0.5788271878887074,1.6331889611887351,2.54353759305299
2458369.5,3456.0,40788.32331105751,5686.134607365643,8855.622753518443,-0.768170231124604,1.6102106129963634,2.5077482689692534
2458369.5,4320.0,40043.904973178214,7065.119605798454,11003.257892997839,-0.9544469586131874,1.580825560904112,2.4619803771178095
2458369.5,5184.0,39140.13623446885,8415.989785549249,13107.103571885451,-1.1369142444953215,1.5451517973970905,2.406417707215456
2458369.5,6048.0,38080.62401609083,9733.371769760824,15158.790668971697,-1.3148444456864343,1.5033325286929926,2.3412833227170946
2458369.5,6912.0,36869.596170933815,11012.026593092884,17150.15942746091,-1.4875283479944843,1.4555355783977653,2.2668386318605744
2458369.5,7776.0,35511.8843168868,12246.87067685909,19073.292126439563,-1.6542780316712826,1.4019526896305414,2.183382300552858
2458369.5,8640.0,34012.904233498586,13432.996158528673,20920.54474660726,-1.8144296441670138,1.3427987289685697,2.0912490123173995
2458369.5,9504.0,32378.63390730014,14565.690492373704,22684.57750063729,-1.9673460683847899,1.2783107960076094,1.9908080812154334
2458369.5,10368.0,30615.589320923697,15640.455241504464,24358.38410392586,-2.112419475317259,1.208747242749965,1.8824619243030312
2458369.5,11232.0,28730.798090487868,16653.023985343905,25935.319667422118,-2.2490737505846115,1.1343866074186935,1.766644400787665
2458369.5,12096.0,26731.771064481192,17599.379270720685,27409.127100662456,-2.3767667850764176,1.0555264676506373,1.6438190255996883
2458369.5,12960.0,24626.472005532127,18475.768539180164,28773.961920018348,-2.494992620622035,0.9724822183413855,1.5144770655933315
2458369.5,13824.0,22423.285483970627,19278.71896779483,30024.41536446058,-2.6032834423692237,0.8855857797010486,1.3791355270370314
2458369.5,14688.0,20130.983118939483,20005.05116566914,31155.535728797313,-2.701211410331499,0.795184241330318,1.2383350434432652
