T0,t,x_1,x_2,x_3,vx_1,vx_2,vx_3
2458369.5,0.0,42122.835,0.0,0.0,0.0,1.662891644615296,2.589800292587956
2458369.5,864.0,42039.01139249699,1435.7844108055992,2236.1024128271,-0.19396682296568832,1.6595825120328125,2.5846469214657426
2458369.5,1728.0,41787.88133748674,2865.8553968252054,4463.306269916389,-0.38715930148693883,1.6496687051542647,2.569207081238124
2458369.5,2592.0,41370.44524862585,4284.520968788943,6672.747246654138,-0.5788064022320223,1.6331899281583184,2.543542906542333
2458369.5,3456.0,40788.36930696249,5686.1356855145505,8855.633089935567,-0.7681432862694959,1.610212343247326,2.507757438884586
2458369.5,4320.0,40043.97668329786,7065.122560095868,11003.278157853598,-0.9544144974126163,1.580828192310676,2.4619943364669226
2458369.5,5184.0,39140.238104360826,8415.995434990944,13107.138266825188,-1.1368770263961985,1.5451554138438763,2.406437277574263
2458369.5,6048.0,38080.75979388468,9733.380980031634,15158.844951452887,-1.314803321133051,1.5033371535032978,2.34130919830888
2458369.5,6912.0,36869.7688407854,11012.04022240952,17150.238995483003,-1.4874842301123148,1.4555411705849925,2.266871368236296
2458369.5,7776.0,35512.09605767038,12246.889519877826,19073.403095624417,-1.6542318663571451,1.4019591431941234,2.1834223082512243
2458369.5,8640.0,34013.15640360139,13433.02089099967,20920.693524026778,-1.8143823797787915,1.3428058753319296,2.09129655568918
2458369.5,9504.0,32378.927055340493,14565.721619252528,22684.77065985722,-1.9672986262448482,1.2783184095670128,1.9908632823944505
2458369.5,10368.0,30615.9232211731,15640.493051148747,24358.62826563198,-2.1123727222174016,1.2087550493745147,1.8825247721041942
2458369.5,11232.0,28731.17180077901,16653.068512231177,25935.62138972044,-2.249028474407729,1.1343942956181365,1.7667147641179952
2458369.5,12096.0,26732.18300346781,17599.430268828502,27409.49278270855,-2.3767236745334923,1.0555337020138622,1.6438966707889435
2458369.5,12960.0,24626.92004536847,18475.82546778242,28774.397722048387,-2.494952249947114,0.9724886547488867,1.5145616768934902
2458369.5,13824.0,22423.76705383017,19278.78099096229,30024.927146589987,-2.603246261625107,0.8855910817331156,1.3792267294105676
2458369.5,14688.0,20131.495314320386,20005.117166234995,31156.129010148412,-2.7011777417622156,0.795188097232475,1.238432426663874
2458369.5,15552.0,17759.22800147184,20651.96028163087,32163.527771159854,-2.7883603639959706,0.7016405878722258,1.0927408161533798
2458369.5,16416.0,15316.403541609865,21216.753854711384,33043.14194368011,-2.8644509400911313,0.6053217462038921,0.9427331107220273
2458369.5,17280.0,12812.737759069507,21697.268614572196,33791.49964343222,-2.9291507377341333,0.5066155582009568,0.7890073329707517
2458369.5,18144.0,10258.184962875272,22091.611159476535,34405.65207127132,-2.982206614919664,0.40591525118609867,0.6321758980492951
2458369.5,19008.0,7662.898133898009,22398.23125877957,34883.184885258604,-3.0234119672496593,0.30362170879666744,0.4728631451121241
2458369.5,19872.0,5037.188375420015,22615.927773545525,35222.22742147756,-3.0526074853042435,0.2001418596657927,0.31170282783887293
2458369.5,20736.0,2391.483792132248,22743.853176047396,35421.459732739866,-3.06968172007972,0.09588704653472521,0.14933557447823487
2458369.5,21600.0,-263.712036038346,22781.516654146508,35480.11742337309,-3.074571455315925,-0.008728617481357864,-0.01359367211545201
2458369.5,22464.0,-2917.8618182089426,22728.785792348954,35397.994267314716,-3.0672618863500394,-0.11328989877564519,-0.17643822402072784
2458369.5,23328.0,-5560.436387898469,22585.886827102728,35175.44260571839,-3.047786605932198,-0.2173820926345599,-0.33855221701286325
2458369.5,24192.0,-8180.956443146819,22353.403479608078,34813.37152916904,-3.0162273982165417,-0.3205926655602751,-0.49929316832877446
2458369.5,25056.0,-10769.03402645628,22032.274375041517,34313.24285836841,-2.9727138428964146,-0.42251288407263377,-0.6580245133748881
2458369.5,25920.0,-13314.413581633606,21623.78906261892,33677.06494575729,-2.917422732181505,-0.5227394236633431,-0.8141181115240415
2458369.5,26784.0,-15807.012427246978,21129.582656324765,32907.38432895322,-2.8505773040153723,-0.6208759517291241,-0.9669567113870482
2458369.5,27648.0,-18236.960489640052,20551.629121394555,32007.27527507435,-2.772446295602029,-0.7165346784852157,-1.1159363662166624
2458369.5,28512.0,-20594.63914223873,19892.233236737473,30980.32726296297,-2.683342821948365,-0.809337870054466,-1.260468790403563
2458369.5,29376.0,-22870.719002216574,19154.021268411925,29830.630457993422,-2.583623084733956,-0.8989193181384061,-1.3999836483528318
2458369.5,30240.0,-25056.19654042294,18339.930394002415,28562.759241524585,-2.4736849173902624,-0.9849257609034152,-1.533930767382499
2458369.5,31104.0,-27142.429365793887,17453.19692228025,27181.753864118546,-2.3539661728067753,-1.0670182499556575,-1.66178226666038
2458369.5,31968.0,-29121.170051229197,16497.34335685146,25693.10029837637,-2.2249429605820583,-1.1448734585312188,-1.78303459458908
2458369.5,32832.0,-30984.59837409975,15476.16435659275,24102.708373623453,-2.0871277412028006,-1.21818492629127,-1.897210467459237
2458369.5,33696.0,-32725.351851116564,14393.711649542664,22416.888280698142,-1.9410672849641997,-1.2866642363846128,-2.003860702615536
2458369.5,34560.0,-34336.55445421706,13254.277960542062,20642.32554074619,-1.7873405038406656,-1.3500421207202966,-2.1025659398166043
2458369.5,35424.0,-35811.8434013754,12062.380016300134,18786.05453719071,-1.6265561648775901,-1.4080694896798625,-2.192938244916665
2458369.5,36288.0,-37145.39392379303,10822.74069469387,16855.43071492488,-1.459350494003519,-1.460518382791025,-2.274622590452004
2458369.5,37152.0,-38331.941918745106,9540.270387986262,14858.101555255562,-1.2863846794583793,-1.5071828371812794,-2.347298208177328
2458369.5,38016.0,-39366.804405419985,8220.04765226781,12801.976439205575,-1.1083422842983672,-1.5478796709300726,-2.410679809064566
2458369.5,38880.0,-40245.89770936654,6867.29921778477,10695.195515455984,-0.9259265776726731,-1.58244917874111,-2.464518666748448
2458369.5,39744.0,-40965.753309631444,5487.379436913686,8546.097692474106,-0.7398577947723928,-1.6107557376613617,-2.508603560878194
2458369.5,40608.0,-41523.53129130066,4085.7492483736432,6363.18787722627,-0.550870335528698,-1.632688320879926,-2.542761577312141
2458369.5,41472.0,-41917.03135493255,2667.954737834219,4155.103585313769,-0.3597099122864994,-1.6481609179475993,-2.5668587625713255
2458369.5,42336.0,-42144.70134326017,1239.6053763773175,1930.581049395615,-0.16713065680224723,-1.657112860066512,-2.5808006304485347
2458369.5,43200.0,-42205.64325452492,-193.6479806954137,-301.5790456287764,0.026107802989093598,-1.6595090494082143,-2.5845325191505872
2458369.5,44064.0,-42099.61672086105,-1626.1352514514838,-2532.546071010215,0.2192432859219161,-1.65534009172797,-2.5780397978334615
2458369.5,44928.0,-41827.039939257505,-3052.189357555919,-4753.494075670169,0.41151400970079266,-1.6446223318525925,-2.5613479218719912
